organCd,사용기관명,지역,주소,홈페이지 주소,전화번호,검색 키워드,대표 강좌 이름,위도,경도
OLWiDh5f0DXhGM1YQcTkqw==,도로시뷰티아카데미학원,경상북도 김천시,(39583) 경상북도 김천시 자산로 200 2층,,054 - 436 - 4488,"미용자격증교육 , 헤어자격증 , 네일자격증",피부 미용 | 미용 헤어 | 네일아트 | 메이크업 정규 | 이용사 | 메이크업 정규 | 피부 자격증 | 미용 헤어 | 네일아트,36.1280961,128.1185561
KpjiALnVCW9b4qLGi5wMUQ==,인생필라평생교육원,경기도 수원시,(16282) 경기도 수원시 장안구 금당로 42 5층 503호,,010 - 2733 - 2475,"필라테스 , 운동교육",,37.3028786,127.0157728
aBRntuiatXUxQKMPoG0BrA==,광주공예학원,광주광역시 서구,"(62029) 광주광역시 서구 염화로31번길 19 상가동 2층,201호",https://blog.naver.com/hans-n-cermic,010 - 8030 - 3051,"광주공예학원 , 도자기공예 , 토탈아트",나만의그릇만들기(중급1) | 핸드빌딩도자기 | 상회장식도자기 | 나만의그릇만들기(초급1),35.1367151,126.8705897
vGUxSrt93sxay9T+TaLaTA==,에스비에스(SBS)아카데미컴퓨터아트학원홍대,서울특별시 마포구,(04051) 서울특별시 마포구 양화로 176 6층 SBS아카데미컴퓨터아트학원 홍대,https://sinchon.sbsart.com/,02 - 312 - 9635,"SBS아카데미 , SBS아카데미홍대 , SBS아카데미컴퓨터",,37.5572510,126.9249991
Y7RhcmFPYT5RZiDtLHT4KQ==,스타셰프실용전문학교,경기도 동두천시,(11346) 경기도 동두천시 지행로 63 연빌딩 7층 스타셰프실용전문학교,http://www.starchef.kr,031 - 863 - 0600,"동두천요리학원 , 동두천제과제빵 , 동두천바리스타",커피바리스타2급 취득과정 | 한식조리기능사 취득과정 | 양식조리기능사 실기과정 | 중식조리기능사 실기과정 | 일식조리기능사 실기과정 | 복어조리기능사 실기과정,37.8926770,127.0542513
dXU5xwsgQtCzisBlqbVrhQ==,목5동주민자치회,서울특별시 양천구,(07984) 서울특별시 양천구 목동서로 41 4층 자치회관 지도보기,,02 - 2620 - 4039,,,37.5372034,126.8816837
LUDtcDeVVFyFch5ZXD/xzg==,대전에스비에스아카데미미용학원,대전광역시 서구,(35300) 대전광역시 서구 계룡로 640 태산빌딩 4층,https://daejeon.sbsbeautystyle.com/campus.asp,042 - 532 - 4900,"피부국가자격증 , 헤어국가자격증 , 메이크업국가자격증",,36.3382710,127.3927620
St5WoxWkGsZag3WITPZDXg==,세종직업능력개발원,서울특별시 금천구,(08591) 서울특별시 금천구 가산디지털1로 2 210호 지도보기,http://www.sjau.co.kr/,02 - 6049 - 4180,"경매물건 , 경매 , 부동산빅데이터터",,37.4668807,126.8883825
uFpAi3AyWi2hQyWXsNs8eA==,녹영꽃예술학원,경기도 부천시,(14548) 경기도 부천시 원미구 길주로 288 다운타운901호 신중동역3번출구,https://blog.naver.com/lokyoungflorist,070 - 4038 - 6976,"플라워 , 꽃꽂이 , 화훼원예",,37.5027295,126.7742422
50VZLqhSLIFei52BuMihHw==,옥동컴퓨터학원,경상북도 안동시,(36660) 경상북도 안동시 경북대로 391 건물2층,,054 - 841 - 3004,"컴퓨터활용능력 , ITQ , 자격증",ITQ자격증 | ITQ | 컴퓨터활용능력2급 | 포토샵(GTQ2급) | ITQ,36.5642509,128.7009765
8l2lFUfUooFNEdBYiudCRg==,수성구평생학습관,대구광역시 수성구,"(42027) 대구광역시 수성구 달구벌대로 2451 (범어동, 범어도서관) 1층 수성구 평생학습관 지도보기",https://lll.suseong.kr/,053 - 666 - 2546,"수성구 평생학습관 , 수성거꾸로 인생학교 , 러닝톡",,35.8593746,128.6306765
/q+TPcbujHKb4AZJx8rQRw==,클래스클라우드TCK평생교육원,서울특별시 중구,(04534) 서울특별시 중구 남대문로 78 타임워크명동빌딩 3층,https://www.classcloud.kr,010 - 5079 - 6470,"강사양성 , CS교육 , 생성형 AI",키비주얼의 힘: 한 장으로 압도하는 PPT with AI | 고수의 질문법: 업무 퀄리티를 바꾸는 AI 프롬프트 | 슬기로운 노션 생활: 기초부터 포트폴리오까지 완성 | 기업교육 전문강사 양성과정 | 팀을 움직이는 CS관리자 리더십 : 소수 정예 밀착 코칭 바이블 | CS 서비스 가치찾기,37.5642246,126.9829594
LTxaGZlpdzi6tnZHJWBbcg==,성지문화원,부산광역시 부산진구,(47181) 부산광역시 부산진구 동평로94번길 28 1층,,051 - 898 - 5000,"성인문해교육 , 초등, 중학학력인정 , 기초한글영어한자",다문화한국어교실 | 치매예방미술(문해) | 영어회화(문해) | 기초영어(문해)) | 자서전반(문해) | 치매예방미술(문해) | 다문화한국어교실 | 영어회화(문해) | 기초영어(문해)),35.1643123,129.0401759
bFCZjWQ+ZhEoosHXkyP+Lg==,피아체레직장인음악학원,경상남도 창원시,(51729) 경상남도 창원시 마산합포구 창동거리길 47 2층,https://cafe.naver.com/piaceremusic,606 - 9455,"통기타 , 피아노 , 보컬",우물렐레 초급반 | 통기타 초급반 | 우쿨렐레 초급반 | 피아노 초급반 | 통기타 초급반 | 보컬 초급반,35.2055363,128.5751867
RCgZAL6z0+vWTjnK9f12oA==,올워크원격평생교육시설,서울특별시 서초구,(06640) 서울특별시 서초구 서초중앙로 52 302,www.allworkedu.co.kr,02 - 585 - 0108,"재취업 , 직무전환 , 직무교육",직업상담사 필기 5과목 노동법규 | 직업상담사 필기 4과목 노동시장 | 직업상담사 필기 3과목 직업정보 | 직업상담사 필기 2과목 직업상담 | 직업상담사 필기 1과목 직업심리 | 유튜브 마케팅 실무 | 생성형 AI활용 글쓰기(PC) | 홈페이지 만들기 | 블로그 활용법 | 인스타그램 활용법,37.4867428,127.0157640
Z+3D52M25uGno6PHbASW/A==,전주동양컴퓨터학원,전북특별자치도 전주시,(55060) 전북특별자치도 전주시 완산구 서원로 2 기정빌딩 4층 402호,blog.naver.com/sunduk8259,063 - 252 - 8814,"바우처컴퓨터학원 , 전주컴퓨터학원 , 전주바우처학원",컴퓨터활용능력2급자격증 | ITQ파워포인트 자격증 및 파워포인트 실무 | 컴퓨터활용능력2급실기 | 컴퓨터활용능력2급실기,35.8133863,127.0946911
kOqoFJEs7Th2ovuCH0x3Zw==,강남발달장애인평생교육센터,서울특별시 강남구,(06220) 서울특별시 강남구 논현로86길 21 2층 지도보기,https://www.gangnam.go.kr/office/memewell/main.do,070 - 4354 - 4701,,강남발달장애인평생교육센터 평생교육프로그램,37.5003482,127.0391648
rYqyY+aXpKY8lHfWlI4aRA==,제이힐링조영신댄스학원,제주특별자치도 제주시,(63227) 제주특별자치도 제주시 신설로7길 57 2층 201호,,010 - 7749 - 3474,"댄스학원 , 줌바",줌바댄스3개월과정,33.4956795,126.5472216
2yrv6q4nbOo18bDcROP0WA==,하이미디어컴퓨터학원노원점,서울특별시 노원구,(01693) 서울특별시 노원구 상계로5길 32 6층,imdacademy.kr,02 - 952 - 9944,"컴퓨터활용능력2급 , ITQ , 포토샵","컴퓨터활용능력2급 실기 | 자체시험센터에서 기초부터 배우는 ITQ(한글,파워포인트,엑셀)자격증과정 | 자체시험센터에서 기초부터 배우는 ITQ(한글,파워포인트,엑셀)자격증과정",37.6571039,127.0628442
gzWvc/+NLzmjtnNwqGOhsQ==,풀잎문화센터청라지부평생교육원,인천광역시 서구,"(22762) 인천광역시 서구 청라커낼로 264 5층, 509호 (청라동, 청라중앙프라자)",cr.pulip.kr,032 - 568 - 5323,,,37.5320782,126.6449716
GdAz7fkmLwL/3so/qrIXsw==,(주)삼성자동차운전전문학원,충청북도 청주시,(28356) 충청북도 청주시 흥덕구 평동로 29 삼성자동차운전전문학원,www.samsungdrive.net,043 - 277 - 3388,,,36.6540485,127.4245771
vavYRaZnlQVMpD7nJLTvkg==,액션에어에어컨기술창업학원,세종특별자치시 세종특별자치시,(30001) 세종특별자치시 소정면 소정구길 228 액션에어에어컨기술창업학원,actionair.co.kr,010 - 2606 - 7339,,,36.7243824,127.1584449
P5VoPGtNdoJFZ3UHHA6ulw==,알지오평생교육원,경기도 의정부시,(11697) 경기도 의정부시 시민로122번길 41-46 201호,https://www.alzio.co.kr/,031 - 873 - 6765,"알지오 , 온라인강의 , 인터넷강의",,37.7365088,127.0494969
7pPMlaTp5RilnvDtsaU4FQ==,광주가톨릭평생교육원,광주광역시 서구,(61995) 광주광역시 서구 상무대로 980 광주가톨릭평생교육원,www.gclei.kr,062 - 380 - 2200,"광주가톨릭 , 평생 , 교육",작가와 함께 글쓰기교실 | 오카리나(초급/야간) | 색소폰(초급) | 사진교실(야외출사반) | 바이올린(그룹레슨) | 대금 | 감성일러스트(주말) | 스마트폰(활용) | 꿈에 그리던 정원 현실이 되다,35.1503490,126.8685000
+npP/m5uTJ9RGtOSQ2TfUA==,남영자동차학원,부산광역시 사하구,(49397) 부산광역시 사하구 을숙도대로 709 남영자동차학원,,051 - 207 - 7965,,,35.0856332,128.9824334
mpJoSyB3aBd4jEFA3kaZtg==,바디다움평생교육원,서울특별시 강남구,"(06137) 서울특별시 강남구 봉은사로38길 12 3층, 전체",https://beautifulbodyacademy.kr/,010 - 9524 - 9090,"필라테스 , 개인필라테스 , 그룹필라테스",,37.5074354,127.0375693
IpLZla0to20Nl8rZMmabWA==,필라테스에반하다왕길역점평생교육원,인천광역시 서구,"(22657) 인천광역시 서구 단봉로 99 303,304호",pcmap.place.naver.com/restaurant/1876146959/home,010 - 9034 - 2053,"필라테스 , 기구필라테스 , 그룹필라테스",,37.5971952,126.6404598
rvXs5qk5I52iaWoklql6Bw==,성북문화원,서울특별시 성북구,(02834) 서울특별시 성북구 성북로4길 13-8 성북문화원 지도보기,https://www.isbcc.or.kr,02 - 765 - 1611,"강좌 , 프로그램 , 수업",,37.5897162,127.0057673
NRyjse/n/gdNQ9/YjkehOw==,한국디지털융합컴퓨터학원,경기도 양주시,(11450) 경기도 양주시 덕정길 7 2층,https://cafe.naver.com/allcom88,010 - 8939 - 4357,"컴퓨터활용능력 , 엑셀.워드 , 자격증",,37.8443032,127.0626312
ci/026ZsrYWdOfckYQ2NPQ==,금산자동차운전전문학원,충청남도 금산군,(32744) 충청남도 금산군 금산읍 장자길 31 금산자동차운전전문학원,https://www.gumsancar.co.kr/,041 - 754 - 4700,"운전면허 , 1종보통 , 2종보통",2종자동 도로연수,36.0973163,127.4587259
sSEbpRb0jzVFKcbW316lDw==,광주여성인력개발센터,광주광역시 동구,(61470) 광주광역시 동구 제봉로 221-11 4층,https://www.womencenter.or.kr,062 - 511 - 0001,"직업교육 , 자격증 취득 , 취업준비",,35.1544634,126.9136167
g0y+hGsLiVKaF5IOfZCDag==,중앙미용학원,강원특별자치도 춘천시,"(24329) 강원특별자치도 춘천시 금강로 111 2,3층",,033 - 254 - 3668,"미용학원 , 춘천 , 중앙미용학원",이용사 | 이용사 | 메이크업 | 네일 미용 | 헤어미용(일반) 자격증,37.8761183,127.7320970
JlVOVXT+0i91RObm0oqeOg==,맘보바리스타제과제빵학원청주지점,충청북도 청주시,(28575) 충청북도 청주시 서원구 1순환로648번길 2 맘보바리스타제과제빵학원 지도보기,https://mb.mambo-academy.com/,043 - 260 - 3206,"한식양식중식일식 , 바리스타 , 제과제빵케이크",,36.6357233,127.4594738
R8/l5iSZ3795Vs+zBayQOQ==,새부산컴퓨터전산회계학원,부산광역시 동래구,(47877) 부산광역시 동래구 명륜로 74 2층,www.drsaepusan.net,051 - 503 - 0022,"사무자동화 , 컴활자격증 , 전산회계자격증","컴퓨터기초 실무활용반 | 컴활자격증(1급2급) | ITQ자격증(한글파포엑셀) | 사무자동화(한글파포엑셀) | 컴퓨터자격증(워드,컴활,ITQ) | 전산회계1급자격증 | 전산회계자격증 | 네이버블로그마케팅제작 | 컴퓨터OA활용종합실무반(실업반) | ITQ마스타자격증",35.2006044,129.0844775
VOb7HaBgvaClg9qm00zhzA==,바요필라테스평생교육원,서울특별시 동작구,(07070) 서울특별시 동작구 신대방길 5 2층,https://blog.naver.com/qkrdpwls123,02 - 2135 - 5340,"자세교정,재활필라스 , 산전산후,키즈,시어 , 다이어트",기구필라테스,37.4877506,126.9122622
mWj0ip31FEZvQQ7cnV8tdQ==,한마음평생교육원,부산광역시 중구,(48967) 부산광역시 중구 대청로 63-1 4층,,051 - 246 - 2781,"감정, 마음, 심리 , 공예, 타로,미술 , 사주","종합 예술 힐링테라피 | 종합 예술 힐링테라피 | 생활 공예 (레진, 가죽) | 타로마스터(1:1 개인) | 스트레스 관리_마음(1:1 개인) | 타로마스터(5:1소그룹) | 스트레스 관리_감정(1:1 개인)",35.1032198,129.0270381
Kn/I6qj/rt4Atcz5XysWsw==,미디런아카데미학원,서울특별시 마포구,(03995) 서울특별시 마포구 동교로 190 3층일부 5층,www.midilearn.com,02 - 337 - 2955,"미디작곡 로직프로 , 영상편집 파이널컷프 , 음향 오디오 프로툴",,37.5570773,126.9225266
QHWQRAiomHublelCTOtbRQ==,시사일본어학원,부산광역시 금정구,"(46291) 부산광역시 금정구 금정로68번길 46 3,4층 시사일본어학원",www.sisajju.com,051 - 512 - 1582,"부산일본어학원 , 부산대일본어학원 , 부산일어학원",시험반 | 베이직 | 시험반 | 중급단기반 | 회화단기반 | 시험단기반 | 회화반 | 주말시험반 | 주말베이직 | 주말회화반,35.2302535,129.0888992
7Hak2PbLfnhhdmbUD27dAQ==,금정음식나라조리학원,부산광역시 금정구,(46216) 부산광역시 금정구 중앙대로 2018-1 6층 음식나라조리학원,http://goldcook2003.kr/,051 - 515 - 0069,,밑반찬 창업과정 | 일식조리기능사 자격증취득과정 | 중식조리기능사 자격증취득과정 | 양식조리기능사 자격증취득과정 | 한식조리기능사 자격증취득과정 | 양식조리기능사 자격증취득과정,35.2644374,129.0926837
eDlgzmYdDyH2kYQYDG2thA==,부천조리직업전문학교,경기도 부천시,(14637) 경기도 부천시 원미구 부일로 460 3층,http://bucheoncook.com/index.php,032 - 611 - 1100,,,37.4858739,126.7810189
hJGXnl3qzfOLP1lfncdJJg==,진주교육대학교부설평생교육원,경상남도 진주시,(52673) 경상남도 진주시 진양호로369번길 3 교사교육센터 202호,www.cue.ac.kr/cuece,055 - 740 - 1413,"진주교대평생교육원 , 교대골프 , 교대평생",궁중무용 | 교방무용 | 라인 댄스 | 내 몸에 필요한 움직임을 배우는 요가와 필라테스 | 배구 | 쉽게 배우는 여행스케치 | 기초부터 배우는 연필스케치와 초상화 | 서예 | 민요와 판소리 | 행복명상과 심리치유,35.1863617,128.0670038
2rU6LVIU0QJfF+AoFDAj0Q==,빈센트커피제과제빵학원,경기도 수원시,"(16455) 경기도 수원시 팔달구 갓매산로55번길 18 헌욱빌딩 3, 4층 지도보기",,031 - 247 - 9373,"바리스타 , 제과 , 제빵",바리스타2급(실기)+SCA초급(실기) | 커피브루잉 [커피지도사2급+SCA 브루잉초급(실기)] | 커피브루잉 [커피지도사2급+SCA 브루잉초급(실기)],37.2690182,127.0036648
xk0N6zYiTs6oIAVLQAMuHg==,밀양간호학원,경상남도 밀양시,(50440) 경상남도 밀양시 삼문중앙로 38 중앙빌딩 3층,http://www.myeduc.co.kr/,055 - 356 - 8777,"밀양평생교육 , 간호조무사 , 요양보호사",요양보호사 국가자격증 소지자반 | 요양보호사 자격취즉과정(야간) | 요양보호사 자격취즉과정(주간) | 간호조무사 자격취득과정,35.4849582,128.7560077
rz8QjI4jQ+t9zp4qlbEpnA==,양탕국커피문화교육학원,경상남도 하동군,(52320) 경상남도 하동군 적량면 공드림재길 155 20번 건물 지도보기,,055 - 883 - 9420,"바리스타 , 커피 , 양탕국",홈카페바리스타 | 1급 핸드브루잉바리스타 | 1급 머신바리스타 | 2급 양탕국브루스터 | 2급 핸드브루잉바리스타 | 2급 머신바리스타 | 양탕국 커피문화해설사 | 2급 로스터 | 1급 로스터 | 양탕국 핸드브루잉 바리스타,35.0986072,127.7790356
Hoi1OAKAJjR8YfhdKwuIqQ==,제이디바리스타학원,광주광역시 북구,(61218) 광주광역시 북구 우치로 15 2층,,062 - 511 - 0588,"바리스타 , 디저트 , 창업",,35.1690269,126.9104619
a3BjvvSE2/K1nk7X92qPqw==,미래평생교육원,부산광역시 사상구,(46955) 부산광역시 사상구 사상로 263 2층 미래평생교육원,www.edu4life.kr,070 - 8064 - 8408,"캘리그라피 , 일러스트 , 오일파스텔아트",프랑스자수 | 세라믹핸드페인팅 | 오일파스텔아트 | 펜드로잉 캘리그라피 | 세라믹(도자)핸드페인팅 | 프랑스자수 | 오일파스텔아트 | 감성수채화 | 펜드로잉 캘리그라피,35.1683978,128.9819775
BMKTTYrWDDNrn3fj89MY2A==,원대간호학원,대구광역시 서구,(41730) 대구광역시 서구 달서로 282 3층 지도보기,http://wdnurse.co.kr/,053 - 354 - 4577,"간호조무사 , 간호조무사학원 , 대구간호조무사",,35.8865069,128.5753391
oIQj4VzOqmgpQSuKQXFffA==,보스보컬실용음악학원,부산광역시 강서구,"(46773) 부산광역시 강서구 명지국제8로 259 501호,502호(명지동,삼성빌딩)",www.vossmusic.co.kr,010 - 5654 - 5734,"보컬 , 기타 , 드럼",기타 | 드럼 | 피아노 | 보컬,35.0982489,128.9212035
JGU7KSTA7HXq4eI2h7jpIQ==,장고옥헤어아카데미학원,인천광역시 서구,(22883) 인천광역시 서구 염곡로464번길 30 벨라미1차상가 1015호,https://map.naver.com/p/entry/place/1236225901?placePath=%252Fhome%253Fentry%253Dplt&searchType=plac,032 - 432 - 9943,"열펌 , 아이롱펌 , 아이롱",열펌 | 토탈열펌&아이롱 | 토탈열펌,37.5257931,126.6723222
12Q8YQ2Z/vEI5NtTHBkYIQ==,아시아자동차운전전문학원,전북특별자치도 김제시,(54370) 전북특별자치도 김제시 복죽로 538 아시아자동차운전전문학원,https://asiadriving.co.kr/,063 - 548 - 0001,,,35.7998391,126.8630016
yPdPsGPybnYOKuAYd45bAw==,이화여자대학교글로벌미래평생교육원,서울특별시 서대문구,(03760) 서울특별시 서대문구 이화여대길 52 이화삼성교육문화관 507,https://sce.ewha.ac.kr/,02 - 3277 - 3111,,,37.5617395,126.9472447
0m5Huga70QQt+jB5ysTh0A==,위드피아노상암DMC학원,서울특별시 마포구,(03930) 서울특별시 마포구 월드컵북로 328 302호,https://with-piano.com/,010 - 3675 - 9374,"피아노 , 클래식 , 재즈",,37.5757594,126.8957437
sRBsSNSkaxeAhGc2KitxzQ==,대구여성인력개발센터YWCA,대구광역시 남구,(42424) 대구광역시 남구 중앙대로 222 대명동,http://www.how-ywca.or.kr,053 - 472 - 2280,"대구여성 , 대구평생바우처 , 대구강좌",손뜨개 | 손뜨개 오전반 | 핸드메이드 손뜨개 | ITQ | ITQ | 캘리그라피-중/고급 | 캘리그라피-초급 | 요가,35.8531027,128.5909262
BY1nh4YZ5Hl46TsKs5dD2Q==,컬컴전주점,전북특별자치도 전주시,(54969) 전북특별자치도 전주시 완산구 홍산중앙로 40 6층 601호 컬컴전주점,,010 - 5834 - 0556,"영어회화 , 영어 , 컬컴",,35.8171145,127.1093248
Y6Ppb6Q9zQ0b3Gl+hf3p6Q==,박물관휴르,대구광역시 수성구,(42021) 대구광역시 수성구 국채보상로186길 47 박물관 휴르,museumhyur.modoo.at/,053 - 759 - 3902,"박물관 , 성인 , 평생교육기관","진로 체험(공예가) | 부엉이 기초 도예 | 부엉이 세라믹 페인팅 | 아크릴 자화상 | 부엉이 기초 미술, 아크릴화 | 부엉이 세라믹 페인팅-사각접시 디자인 | 부엉이 세라믹 페인팅-원형접시 디자인",35.8660516,128.6332135
1kdDUB8kiLua1IQ5Qfoffw==,공주간호학원,충청남도 공주시,(32586) 충청남도 공주시 공주대학로 17-20 2~4층,,041 - 8520 - 0852,"요양보호사 , 병원동행 , 생활지원사",,36.4679200,127.1356571
z6FtQIm66xUECYBVKnifrw==,원에어클린에어컨세탁기분해청소전문교육학원,경상남도 김해시,(50875) 경상남도 김해시 진례면 테크노밸리로 25-6 1층,http://1airclean.kr/theme/TYPE02/subpage/01.php,010 - 5585 - 7360,"직업전문학원 , 에어컨 세탁기 , 분해청소",에어컨 분해청소 실무교육과정 | 세탁기 분해청소 실무교육과정,35.2670394,128.7659600
5fD5abWe2lOtnvMsmUA+Ww==,제주장애인평생교육원,제주특별자치도 제주시,(63098) 제주특별자치도 제주시 도령로 15 10층,,064 - 743 - 2467,,,33.4870385,126.4808046
NcOPxE1KaOP/AAmFl0W+Pw==,글로벌예술종합평생교육원,전라남도 담양군,(57340) 전라남도 담양군 담양읍 객사2길 3 글로벌예술종합평생교육원,,010 - 8671 - 8472,,피아노,35.3225831,126.9820903
+NvfBcJ5hUY+GMCHbDW1BQ==,굿아이컴퓨터학원,광주광역시 북구,(61052) 광주광역시 북구 설죽로 338 4층 지도보기,https://blog.naver.com/rntdkdl3477,010 - 2675 - 3744,"컴퓨터학원 , 컴퓨터기초 및 자격증 , 유튜브 및 영상편집","컴퓨터활용능력/컴퓨터활용능력2급/컴퓨터활용능력1급 | 컴퓨터활용능력, 컴퓨터기초, 컴퓨터자격증 | 컴퓨터활용능력2급",35.1896327,126.8993895
